state,age,gender,married,education,urban_rural,race,citizen,personal_income
AL,48,female,married,college_degree,rural,white,1,16700
AL,78,female,unmarried,no_degree,rural,white,1,122700
AL,29,male,unmarried,college_degree,urban,white,1,80000
AL,49,female,unmarried,no_degree,urban,white,1,98699.99999999999
AL,44,female,married,college_degree,urban,white,1,60000
AL,64,male,married,college_degree,rural,white,1,90300
AL,50,male,married,college_degree,rural,white,1,150000
AL,50,female,married,no_degree,rural,white,1,8000
AL,59,female,unmarried,no_degree,rural,white,1,22000
AL,61,female,married,no_degree,urban,white,1,30000
AL,41,male,married,college_degree,rural,white,1,119000
AL,37,male,married,college_degree,rural,black,1,43000
AL,25,male,married,no_degree,rural,white,1,13799.999999999998
AL,30,male,married,college_degree,rural,white,1,41500
AL,61,female,married,college_degree,urban,white,1,90300
AL,55,female,married,no_degree,rural,white,1,28000
AL,43,male,unmarried,no_degree,rural,black,1,76000
AL,28,male,married,no_degree,rural,white,1,42000
AL,30,female,married,college_degree,urban,white,1,32500
AL,70,female,married,no_degree,rural,white,1,27290
AL,53,male,married,college_degree,rural,white,1,333000
AL,54,female,unmarried,no_degree,rural,black,1,28000
AL,43,male,married,no_degree,rural,white,1,28000
AL,66,female,unmarried,college_degree,rural,white,1,47000
AL,25,female,married,no_degree,rural,NA,0,30000
AL,60,male,unmarried,no_degree,rural,white,1,23200
AL,63,female,unmarried,no_degree,urban,white,1,52000
AL,65,female,unmarried,college_degree,urban,white,1,8100.000000000001
AL,61,male,married,no_degree,urban,black,1,76000
AL,27,female,unmarried,no_degree,rural,black,1,6800.000000000001
AL,57,female,married,no_degree,urban,white,1,36700
AL,54,female,unmarried,no_degree,rural,white,1,25800
AL,32,female,married,no_degree,urban,black,1,40300
AL,47,female,married,no_degree,rural,white,1,24600
AL,28,female,married,college_degree,rural,white,1,95000
AL,29,male,unmarried,college_degree,urban,white,1,25000
AL,38,male,unmarried,no_degree,urban,black,1,44000
AL,50,female,married,college_degree,rural,white,1,57000
AL,61,female,married,no_degree,rural,black,1,70000
AL,45,female,married,no_degree,rural,white,1,86000
AL,32,female,married,college_degree,rural,white,1,38000
AL,50,female,unmarried,no_degree,rural,black,1,75400
AL,47,female,unmarried,no_degree,rural,white,1,26500
AL,50,female,unmarried,no_degree,rural,black,1,17600
AL,57,female,unmarried,no_degree,rural,white,1,30000
AL,46,female,unmarried,no_degree,rural,black,1,40400
AL,39,male,married,no_degree,urban,white,1,80000
AL,57,male,married,no_degree,rural,white,1,41800
AL,46,female,married,college_degree,rural,white,1,23000
AL,45,male,married,no_degree,rural,white,1,161000
AL,35,male,married,college_degree,rural,white,0,344000
AL,42,female,married,college_degree,rural,white,1,58000
AL,46,male,married,college_degree,rural,NA,0,60000
AL,24,female,unmarried,no_degree,rural,white,1,6100
AL,24,female,unmarried,no_degree,urban,black,1,18500
AL,38,female,married,no_degree,urban,white,1,65000
AL,26,female,unmarried,no_degree,rural,black,1,25000
AL,61,female,unmarried,no_degree,urban,white,1,42000
AL,39,male,married,college_degree,urban,white,1,92000
AL,25,female,unmarried,no_degree,rural,black,1,22000
AL,56,male,married,college_degree,rural,white,1,866000
AL,31,male,unmarried,no_degree,urban,white,1,33000
AL,55,male,married,college_degree,rural,white,1,81000
AL,48,female,married,college_degree,rural,white,1,10500
AL,55,female,married,no_degree,rural,white,1,35000
AL,59,female,married,college_degree,rural,white,1,75000
AL,33,female,unmarried,no_degree,urban,black,1,15000
AL,50,male,married,no_degree,rural,white,1,110000
AL,48,male,married,college_degree,urban,white,1,369200
AL,48,male,married,college_degree,urban,asian,1,58000
AL,26,male,married,college_degree,rural,white,1,70100
AL,49,female,married,no_degree,rural,white,1,18000
AL,68,female,married,no_degree,urban,white,1,23700
AL,46,female,unmarried,no_degree,rural,white,1,12000
AL,31,female,married,no_degree,rural,white,1,18000
AL,48,male,married,no_degree,rural,white,1,150000
AL,41,female,unmarried,no_degree,urban,black,1,30000
AL,43,female,unmarried,no_degree,rural,asian,0,16800
AL,37,female,married,no_degree,rural,white,1,6000
AL,47,male,married,no_degree,urban,black,1,4400
AL,57,female,unmarried,no_degree,urban,white,1,25900
AL,48,female,married,no_degree,urban,white,1,27000
AL,55,female,unmarried,no_degree,rural,white,1,12000
AL,26,male,unmarried,college_degree,urban,white,1,41500
AL,53,female,married,no_degree,urban,white,1,36000
AL,33,female,married,no_degree,rural,black,1,23600
AL,40,male,married,no_degree,rural,white,1,32000
AL,62,male,married,no_degree,rural,white,1,40000
AL,35,male,married,college_degree,rural,white,1,80000
AL,61,female,unmarried,no_degree,urban,white,1,48000
AL,52,male,married,college_degree,rural,white,1,35000
AL,36,male,married,no_degree,urban,white,1,66900
AL,34,male,married,college_degree,urban,white,1,193000
AL,37,male,unmarried,no_degree,urban,black,1,25000
AL,31,male,married,college_degree,rural,asian,1,59000
AL,31,male,married,no_degree,rural,white,1,90000
AL,63,male,married,college_degree,urban,white,1,125000
AL,48,female,unmarried,no_degree,urban,black,1,40000
AL,64,male,married,no_degree,rural,white,1,50000
AL,52,female,married,college_degree,rural,white,1,24000
AL,56,male,married,college_degree,rural,white,1,195750
AL,32,female,married,no_degree,rural,white,1,15000
AL,53,female,married,college_degree,rural,white,1,25000
AL,45,male,unmarried,college_degree,rural,white,1,49000
